,title,text,Title,First Line,Author,Composition Date,Composition Location,Source of First Publication,First Publication Publisher,First Publication Year,First Publication Location
1,Untitled,"['Сразу стало тихо в доме,                Облетел последний мак,                Замерла я в долгой дрёме                И встречаю ранний мрак.', 'Плотно заперты ворота,                Вечер чёрен, ветер тих.                Где веселье, где забота,                Где ты, ласковый жених?', 'Не нашёлся тайный перстень,                Прождала я много дней,                Нежной пленницею песня                Умерла в груди моей.']",no title,Srazu stalo tikho v dome…,Anna Akhmatova,July 1917,Slepnevo,Podorozhnik, Petropolis,1921,
2,Untitled,"['Ты — отступник: за остров зелёный                Отдал, отдал родную страну,                Наши песни, и наши иконы,                И над озером тихим сосну.', 'Для чего ты, лихой ярославец,               Коль ещё не лишился ума,               Загляделся на рыжих красавиц               И на пышные эти дома?', 'Так теперь и кощунствуй, и чванься,                Православную душу губи,                В королевской столице останься                И свободу свою полюби.', 'Для чего ж ты приходишь и стонешь                Под высоким окошком моим?                Знаешь сам, ты и в море не тонешь,                И в смертельном бою невредим.', 'Да, не страшны ни море, ни битвы                Тем, кто сам потерял благодать.                Оттого-то во время молитвы                Попросил ты тебя поминать.']",no title,Ty - otstupnik: za ostrov zelenyi…,Anna Akhmatova,summer 1917,Slepnevo,Podorozhnik, Petropolis,1921,
3,Untitled,"['Просыпаться на рассвете                Оттого, что радость душит,                И глядеть в окно каюты                На зелёную волну,                Иль на палубе в ненастье,                В мех закутавшись пушистый,                Слушать, как стучит машина,                И не думать ни о чём,                Но, предчувствуя свиданье                С тем, кто стал моей звездою,                От солёных брызг и ветра                С каждым часом молодеть.']",no title,Prosypat'sia na rassvete…,Anna Akhmatova,July 1917,Slepnevo,Podorozhnik, Petropolis,1921,
4,Untitled,"['И в тайную дружбу с высоким,                Как юный орёл темноглазым                 Я, словно в цветник предосенний,                Походкою лёгкой вошла.                Там были последние розы,                И месяц прозрачный качался               На серых, густых облаках...']",no title,I v tainuiu druzhbu c vysokim…,Anna Akhmatova,1917,Petrograd,Podorozhnik, Petropolis,1921,
5,Untitled,"['Словно ангел, возмутивший воду,                Ты взглянул тогда в моё лицо,                Возвратил и силу и свободу,                А на память чуда взял кольцо.                Мой румянец жаркий и недужный                Стёрла богомольная печаль.                Памятным мне будет месяц вьюжный, Северный встревоженный февраль.']",no title,"Slovno angel, vozmutivshii vodu…",Anna Akhmatova,February 1916,Tsarskoe selo,Podorozhnik, Petropolis,1921,
6,Untitled,"['Когда о горькой гибели моей                Весть поздняя его коснётся слуха,                Не станет он ни строже, ни грустней,                Но, побледневши, улыбнётся сухо.                И сразу вспомнит зимний небосклон                И вдоль Невы несущуюся вьюгу,                И сразу вспомнит, как поклялся он                Беречь свою восточную подругу.']",no title,Kogda o gor'koi gibeli moei…,Anna Akhmatova,1917,,Podorozhnik, Petropolis,1921,
7,Untitled,"['А ты теперь тяжёлый и унылый,                Отрёкшийся от славы и мечты,                Но для меня непоправимо милый,                И чем темней, тем трогательней ты.', 'Ты пьёшь вино, твои нечисты ночи,                Что наяву, не знаешь, что во сне,                Но зелены мучительные очи, —                Покоя, видно, не нашёл в вине.', 'И сердце только скорой смерти просит,                Кляня медлительность судьбы.                Всё чаще ветер западный приносит                Твои упрёки и твои мольбы.', 'Но разве я к тебе вернуться смею?                Под бледным небом родины моей                Я только петь и вспоминать умею,                А ты меня и вспоминать не смей.', 'Так дни идут, печали умножая.                Как за тебя мне Господа молить?                Ты угадал: моя любовь такая,                Что даже ты её не мог убить.']",no title,A ty teper' tiazhelyi i unylyi…,Anna Akhmatova,"July 22, 1917",Slepnevo,Podorozhnik, Petropolis,1921,
8,Untitled,"['Пленник чужой! Мне чужого не надо,                Я и своих-то устала считать.                Так отчего же такая отрада                Эти вишнёвые видеть уста?', 'Пусть он меня и хулит и бесславит,                Слышу в словах его сдавленный стон.                Нет, он меня никогда не заставит                Думать, что страстно в другую влюблён.', 'И никогда не поверю, что можно                После небесной и тайной любви                Снова смеяться и плакать тревожно                И проклинать поцелуи мои.']",no title,Plennik chuzhoi! Mne chuzhogo ne nado…,Anna Akhmatova,1917,,Podorozhnik, Petropolis,1921,
9,Untitled,"['Я спросила у кукушки,                Сколько лет я проживу...                Сосен дрогнули верхушки,                Жёлтый луч упал в траву.                Но ни звука в чаще свежей,                Я иду домой,                И прохладный ветер нежит                Лоб горячий мой.']",no title,Ia sprosila u kukushki…,Anna Akhmatova,"June 1, 1919",Tsarskoe selo,Podorozhnik, Petropolis,1921,
10,Untitled,"['По неделе ни слова ни с кем не скажу,                Всё на камне у моря сижу,                И мне любо, что брызги зелёной волны,                Словно слёзы мои, солоны.                Были вёсны и зимы, да что-то одна                Мне запомнилась только весна.                Стали ночи теплее, подтаивал снег,                Вышла я поглядеть на луну,                И спросил меня тихо чужой человек,                Между сосенок встретив одну:                «Ты не та ли, кого я повсюду ищу,                О которой с младенческих лет,                Как о милой сестре, веселюсь и грущу?»                Я чужому ответила: «Нет!».                А как свет поднебесный его озарил,                Я дала ему руки мои,                И он перстень таинственный мне подарил,                Чтоб меня уберечь от любви.                И назвал мне четыре приметы страны,                Море, круглая бухта, высокий маяк,                А всего непременней — полынь...                И как жизнь началась, пусть и кончится так.                Я сказала, что знаю: аминь!']",no title,Po nedele ni slova ni s kem ne skazhu…,Anna Akhmatova,1916,Sevastopol',Podorozhnik, Petropolis,1921,
